Nom de l'e-mail,Date d'envoi (votre fuseau horaire),Envoyé,Taux de clics/ouvertures,Taux de distribution,Taux de désabonnement,Taux de spam,Taux d'ouverture,Taux de clics,Cliqué,Remis,Ouvert,Désabonné,segments,statut,reason,segment,statut_filled
FR - Remerciement brochure - MSc Innovative Business Models & Greentech Start-ups,2026-06-18 12:09:02,3,33.333,100.0,0.0,0.0,100.0,33.333,1,3,3,0,"{'bac45', 'bac3'}",,ok,bac3,lead
FR - Workflow AST 2026 - bac+4- Interêt PGE - Mail n°1 (LEAD),2026-06-18 10:54:27,7,25.0,100.0,0.0,0.0,57.143,14.286,1,7,4,0,{'bac45'},lead,ok,bac45,lead
FR - Workflow AST 2026 - bac+3- Interêt PGE MSc ou nul - Mail n°1 (LEAD),2026-06-18 10:54:09,81,16.667,100.0,1.235,0.0,22.222,3.704,3,81,18,1,{'bac3'},lead,ok,bac3,lead
FR - Workflow AST 2026 - bac+3 - Interêt double ou nul - Mail n°3 (LEAD),2026-06-18 10:53:52,77,16.667,100.0,1.299,0.0,15.584,2.597,2,77,12,1,{'bac3'},lead,ok,bac3,lead
FR - Workflow AST 2026 - bac+2 - Interêt PGE - Mail n°1 (MQL),2026-06-18 10:50:43,8,0.0,100.0,0.0,0.0,50.0,0.0,0,8,4,0,{'bac2'},mql,ok,bac2,mql
FR - Workflow AST 2026 - bac+2 - Interêt Bachelor - Mail n°3 (MQL),2026-06-18 10:47:29,121,0.0,100.0,0.0,0.0,6.612,0.0,0,121,8,0,{'bac2'},mql,ok,bac2,mql
FR - Workflow AST 2026 - bac+2 - double ou interet nul - Mail n°3 (MQL),2026-06-18 10:46:48,109,7.692,100.0,1.835,0.0,11.927,0.917,1,109,13,2,{'bac2'},mql,ok,bac2,mql
FR - Workflow AST 2026 - bac+3 - double ou interet nul - Mail n°3 (MQL),2026-06-18 10:46:07,244,6.667,99.59,2.881,0.0,12.346,0.823,2,243,30,7,{'bac3'},mql,ok,bac3,mql
FR - Workflow AST 2026 - bac+3 - interêt MSc - Mail n°3 (MQL),2026-06-18 10:44:00,123,0.0,99.187,0.0,0.0,13.115,0.0,0,122,16,0,{'bac3'},mql,ok,bac3,mql
FR - Workflow AST 2026 - bac+4 - interêt PGE - Mail n°3 (MQL),2026-06-18 10:43:10,22,0.0,100.0,0.0,0.0,4.545,0.0,0,22,1,0,{'bac45'},mql,ok,bac45,mql
FR - Workflow AST 2026 - bac+4 - Interêt PGE - Mail n°1 (MQL),2026-06-18 10:41:18,10,0.0,100.0,0.0,0.0,10.0,0.0,0,10,1,0,{'bac45'},mql,ok,bac45,mql
FR - Workflow AST 2026 - bac+3 - Interêt MSc - Mail n°1 (SQL),2026-06-18 10:19:26,32,11.111,100.0,3.125,0.0,28.125,3.125,1,32,9,1,{'bac3'},sql,ok,bac3,sql
FR - Workflow AST 2026 - bac+4/5 - Interêt MSc- Mail n°1 (SQL),2026-06-18 10:16:45,22,75.0,100.0,4.545,0.0,36.364,27.273,6,22,8,1,{'bac45'},sql,ok,bac45,sql
"FR - Workflow AST 2026 - bac+2, 3, 4, 5 - Interêt PGE - Mail n°2 (SQL)",2026-06-18 10:16:09,93,12.0,100.0,1.075,0.0,26.882,3.226,3,93,25,1,"{'bac2', 'bac45', 'bac3'}",sql,ok,bac2,sql
"FR - Workflow AST 2026 - bac+2, 3, 4, 5 - Interêt PGE - Mail n°2 (SQL)",2026-06-18 10:16:09,93,12.0,100.0,1.075,0.0,26.882,3.226,3,93,25,1,"{'bac2', 'bac45', 'bac3'}",sql,ok,bac45,sql
"FR - Workflow AST 2026 - bac+2, 3, 4, 5 - Interêt PGE - Mail n°2 (SQL)",2026-06-18 10:16:09,93,12.0,100.0,1.075,0.0,26.882,3.226,3,93,25,1,"{'bac2', 'bac45', 'bac3'}",sql,ok,bac3,sql
FR - Nurturing 25/26 - Cible B+2 intérêt Bachelor - Contact commerciaux - version Helene (auto),2025-10-24 10:51:58,2,0.0,100.0,0.0,0.0,50.0,0.0,0,2,1,0,{'bac2'},,ok,bac2,lead
INT - Nurturing FR 25-26 - Bachelor,2026-06-23 16:25:00,29,14.286,100.0,0.0,0.0,24.138,3.448,1,29,7,0,{'terminale'},,ok,terminale,lead
FR - Nurturing 25/26 - Cible B+1 intérêt Bachelor - Contact commerciaux - version Amélie,2026-06-18 15:01:01,16,0.0,100.0,0.0,0.0,6.25,0.0,0,16,1,0,{'bac1'},,ok,bac1,lead
FR - Nurturing 25/26 - Cible B+1 intérêt Bachelor - la vie étudiante - version Amélie,2026-06-18 15:00:12,16,16.667,100.0,0.0,0.0,37.5,6.25,1,16,6,0,{'bac1'},,ok,bac1,lead
FR - Remerciement brochure - MSc Luxe et design management,2026-06-18 13:26:11,36,42.857,100.0,5.556,0.0,38.889,16.667,6,36,14,2,"{'bac45', 'bac3'}",,ok,bac45,lead
FR - Remerciement brochure - MSc Luxe et design management,2026-06-18 13:26:11,36,42.857,100.0,5.556,0.0,38.889,16.667,6,36,14,2,"{'bac45', 'bac3'}",,ok,bac3,lead
FR - Workflow AST 2026 - bac+4- Interêt double ou nul - Mail n°1 (LEAD),2026-06-18 10:53:37,11,0.0,90.909,0.0,0.0,10.0,0.0,0,10,1,0,{'bac45'},lead,ok,bac45,lead
FR - Workflow AST 2026 - bac+3 - Interêt PGE - Mail n°1 (MQL),2026-06-18 10:50:11,33,0.0,100.0,0.0,0.0,24.242,0.0,0,33,8,0,{'bac3'},mql,ok,bac3,mql
FR - Workflow AST 2026 - bac+3 - interêt PGE - Mail n°3 (MQL),2026-06-18 10:45:47,180,10.526,100.0,3.889,0.0,10.556,1.111,2,180,19,7,{'bac3'},mql,ok,bac3,mql
FR - Workflow AST 2026 - bac+4 - Interêt MSc - Mail n°1 (MQL),2026-06-18 10:41:35,14,25.0,100.0,7.143,0.0,28.571,7.143,1,14,4,1,{'bac45'},mql,ok,bac45,mql
